Currency_Pair,Sharpe_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Total_Profit,Avg_Profit_Per_Trade,Avg_Winning_Trade,Avg_Losing_Trade,Max_Profit,Max_Loss,Profit_Std,Profit_Factor,Initial_Balance,Final_Balance,Total_Return_Percent,Trading_Period_Days,Start_Date,End_Date,XIRR,Max_Drawdown
XAUUSD,0.6441,163,121,42,74.23,2068.39,12.69,29.59,-35.83,0,0,0,2.379,10006.86,12075.25,20.67,2021,2020-01-24,2025-08-06,3.45,580.0
XAGUSD,0.5664,145,86,59,59.31,2493.77,17.2,45.21,-23.96,0,0,0,2.7504,9980.58,12474.35,24.99,2137,2020-01-24,2025-11-30,3.88,752.0
