Currency_Pair,Sharpe_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Total_Profit,Avg_Profit_Per_Trade,Avg_Winning_Trade,Avg_Losing_Trade,Max_Profit,Max_Loss,Profit_Std,Profit_Factor,Initial_Balance,Final_Balance,Total_Return_Percent,Trading_Period_Days,Start_Date,End_Date,XIRR,Max_Drawdown
XAUUSD_Grid,2.0,1317,1313,4,99.7,21525.9,16.34,0,0,0,0,8.17,130.125,100008.28,121534.18,21.52,2021,2020-01-24,2025-08-06,0,6752.0
USDJPY_Grid,2.0,1261,1032,229,81.84,6189.67,4.91,0,0,0,0,2.455,5.5816,100000.98,106190.65,6.19,2160,2020-01-01,2025-11-30,0,3319.0
