Currency_Pair,Sharpe_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Total_Profit,Avg_Profit_Per_Trade,Avg_Winning_Trade,Avg_Losing_Trade,Max_Profit,Max_Loss,Profit_Std,Profit_Factor,Initial_Balance,Final_Balance,Total_Return_Percent,Trading_Period_Days,Start_Date,End_Date,XIRR,Max_Drawdown
AUDUSD_AUDCAD,0.8444,60,37,23,61.67,1704.23,28.4,0,0,0,0,0,51.893,100000.0,101704.23,1.7,2186,2020-01-01,2025-12-26,0,337.0
EURGBP_GBPCHF,1.8301,173,105,68,60.69,4868.1,28.14,0,0,0,0,0,2.7237,100000.0,104868.1,4.87,2172,2020-01-15,2025-12-26,0,447.0
EURUSD_AUDUSD,1.8648,400,241,159,60.25,10608.65,26.52,0,0,0,0,0,8.1093,100000.0,110608.65,10.61,1912,2020-10-01,2025-12-26,0,1086.0
EURUSD_GBPUSD,0.4251,148,86,62,58.11,2890.32,19.53,0,0,0,0,0,14.3878,100000.0,102890.32,2.89,1912,2020-10-01,2025-12-26,0,1298.0
USDCAD_AUDCHF,2.7042,622,391,231,62.86,16357.46,26.3,0,0,0,0,0,7.0978,100000.0,116357.46,16.36,2186,2020-01-01,2025-12-26,0,1010.0
