Currency_Pair,Sharpe_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Total_Profit,Avg_Profit_Per_Trade,Avg_Winning_Trade,Avg_Losing_Trade,Max_Profit,Max_Loss,Profit_Std,Profit_Factor,Initial_Balance,Final_Balance,Total_Return_Percent,Trading_Period_Days,Start_Date,End_Date,XIRR,Max_Drawdown
AUDUSD_AUDCAD,0.80435,60,37,23,61.67,1704.23,28.4,0,0,0,0,35.308012681046804,1.6087,100000,101704.23,1.7,2186,2020-01-01,2025-12-26,0,705.0
EURGBP_GBPCHF,0.77205,173,105,68,60.69,4868.1,28.14,0,0,0,0,36.44841655333204,1.5441,100000,104868.1,4.87,2172,2020-01-15,2025-12-26,0,1779.0
EURUSD_GBPUSD,0.69355,148,86,62,58.11,2890.32,19.53,0,0,0,0,28.1594693965828,1.3871,100000,102890.32,2.89,1912,2020-10-01,2025-12-26,0,2020.0
EURUSD_AUDUSD,0.75785,400,241,159,60.25,10608.65,26.52,0,0,0,0,34.99373226891865,1.5157,100000,110608.65,10.61,1912,2020-10-01,2025-12-26,0,3596.0
USDCAD_AUDCHF,0.8463,622,391,231,62.86,16357.46,26.3,0,0,0,0,31.07645043128914,1.6926,100000,116357.46,16.36,2186,2020-01-01,2025-12-26,0,4579.0
