Currency_Pair,Sharpe_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Total_Profit,Avg_Profit_Per_Trade,Avg_Winning_Trade,Avg_Losing_Trade,Max_Profit,Max_Loss,Profit_Std,Profit_Factor,Initial_Balance,Final_Balance,Total_Return_Percent,Trading_Period_Days,Start_Date,End_Date,XIRR,Max_Drawdown
AUDUSD_GBPNZD,0.99255,400,266,134,66.5,4096.5,10.24,0,0,0,0,10.316860611556091,1.9851,100000,104096.5,4.1,2163,2020-01-01,2025-12-03,0,1928.0
EURAUD_CADCHF,0.8409,354,222,132,62.71,3459.3,9.77,0,0,0,0,11.618503983826852,1.6818,100000,103459.3,3.46,2158,2020-01-01,2025-11-28,0,2323.0
EURGBP_GBPCHF,0.704,301,176,125,58.47,2136.42,7.1,0,0,0,0,10.085227272727272,1.408,100000,102136.42,2.14,2186,2020-01-01,2025-12-26,0,1709.0
GBPUSD_USDCAD,0.95455,192,126,66,65.62,1889.4,9.84,0,0,0,0,10.308522340369809,1.9091,100000,101889.4,1.89,2098,2020-01-01,2025-09-29,0,2025.0
GBPUSD_USDCHF,0.8457,218,137,81,62.84,2436.85,11.18,0,0,0,0,13.219817902329432,1.6914,100000,102436.85,2.44,2163,2020-01-01,2025-12-03,0,1683.0
USDCAD_AUDCHF,0.90215,258,166,92,64.34,2406.3,9.33,0,0,0,0,10.34196087125201,1.8043,100000,102406.3,2.41,2165,2020-01-01,2025-12-05,0,634.0
