Currency_Pair,Sharpe_Ratio,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_Percent,Total_Profit,Avg_Profit_Per_Trade,Avg_Winning_Trade,Avg_Losing_Trade,Max_Profit,Max_Loss,Profit_Std,Profit_Factor,Initial_Balance,Final_Balance,Total_Return_Percent,Trading_Period_Days,Start_Date,End_Date,XIRR,Max_Drawdown
EURAUD,5.29,301,250,51,83.06,13644.58,45.33,65.77,-55.64,0,0,0,5.79,9960.79,23605.37,136.98,1881,2020-02-28,2025-04-23,18.23,7780.0
GBPUSD,2.8,124,101,23,81.45,6144.89,49.56,77.6,-72.43,0,0,0,4.7,10026.57,16171.46,61.29,1858,2020-02-06,2025-03-10,9.85,4081.0
EURUSD,3.56,109,90,19,82.57,4475.74,41.06,58.62,-39.77,0,0,0,6.98,10044.2,14519.94,44.56,1901,2020-02-28,2025-05-13,7.33,1548.0
EURJPY,4.52,106,93,13,87.74,4187.3,39.5,50.26,-34.88,0,0,0,10.31,10033.18,14220.48,41.73,1857,2020-03-09,2025-04-09,7.1,932.0
AUDJPY,3.27,132,108,24,81.82,3793.07,28.74,43.97,-38.93,0,0,0,5.08,10021.49,13814.56,37.85,1954,2020-02-05,2025-06-13,6.18,2896.0
EURCHF,5.26,113,100,13,88.5,5527.17,48.91,60.05,-32.67,0,0,0,14.14,10053.57,15580.74,54.98,1842,2020-05-27,2025-06-13,9.07,1162.0
USDCAD,7.21,265,230,35,86.79,10004.15,37.75,48.16,-29.57,0,0,0,10.7,10038.44,20042.59,99.66,1978,2020-01-09,2025-06-10,13.61,3566.0
AUDUSD,7.78,669,556,113,83.11,18127.78,27.1,39.52,-33.79,0,0,0,5.75,10026.88,28154.66,180.79,1969,2020-01-28,2025-06-20,21.09,4596.0
